Bank,State,Date
National State Bank of Metropolis,IL,14-Dec-00
Bank of Honolulu,HI, 12-Feb-2011
Bank1 of Honolulu,HI, 12-Feb-2011
Bank2 of Honolulu,HI, 12-Mar-2011
Bank3 of Honolulu,HI, 12-Feb-2019
National State Bank of Metropolis,IL,14-Dec-00
First Alliance Bank & Trust Co.,NH,2-Feb-01
Malta National Bank,OH,3-May-01
Superior Bank FSB,IL,27-Jul-01
Sinclair National Bank,AR,7-Sep-01
Hamilton Bank NA,FL,11-Jan-02
Bank of Sierra Blanca,TX,18-Jan-02
Oakwood Deposit Bank Co.,OH,1-Feb-02
NextBank NA,AZ,7-Feb-02
Net 1st National Bank,FL,1-Mar-02
New Century Bank,MI,28-Mar-02
Connecticut Bank of Commerce,CT,26-Jun-02
Universal Federal Savings Bank,IL,27-Jun-02
